,ADIG,AVAG,AQUE,ACAL,BPLA,BGLA,BFLO,CELE,CTEL,CFAR,CINT,CGIG,CVIR,DRER,DPUL,DMEL,EMUL,EPAL,HROB,HSAP,LLUY,LANA,LGIG,MLIG,MYES,MLEI,MPHI,NGEN,OBIM,PYES,PAUS,SKOW,SMAN,SMED,SPUR,TKIT,TADH,Total
OG0000127,13,10,3,3,2,2,46,19,19,1,2,9,27,33,22,20,16,14,9,13,8,6,26,19,1,1,4,4,12,1,3,28,6,37,41,0,1,481
OG0000128,20,0,0,0,33,0,2,0,5,64,1,36,79,3,0,0,0,15,0,2,24,22,0,3,80,0,42,3,0,43,0,3,0,0,0,0,0,480
OG0000129,13,47,20,10,10,18,25,2,10,6,6,17,17,31,32,14,7,5,7,6,10,18,8,10,9,11,8,12,5,7,9,9,3,30,12,13,1,478
OG0000130,13,10,10,8,8,24,12,5,9,9,4,24,42,72,5,16,3,12,6,7,8,22,8,7,23,4,8,14,27,5,5,5,3,17,19,0,3,477
OG0000131,10,2,0,60,0,56,20,0,51,0,1,10,9,0,0,0,0,16,81,0,11,23,0,0,4,24,2,1,29,0,3,1,7,0,54,0,0,475
OG0000132,33,12,1,7,7,16,48,6,13,7,16,17,23,19,3,8,5,10,14,6,11,17,12,11,11,11,5,11,12,8,14,38,4,17,21,0,0,474
OG0000133,0,9,0,7,0,12,0,8,16,0,0,0,0,0,77,0,0,0,17,0,1,0,0,87,0,2,0,70,143,0,1,0,0,1,2,15,5,473
OG0000134,14,8,2,4,20,3,94,1,42,6,8,19,15,4,2,0,0,13,10,1,40,20,16,0,6,2,22,2,0,5,1,16,0,4,58,0,14,472
OG0000135,5,3,15,5,22,31,20,10,3,11,3,27,28,41,2,7,0,20,9,5,38,28,6,9,18,0,15,4,5,9,17,13,0,1,41,0,0,471
OG0000136,16,27,1,8,7,6,8,11,6,7,13,32,20,76,13,21,4,17,9,9,7,43,7,3,29,2,7,8,8,8,6,10,4,7,6,1,2,469
OG0000137,47,4,0,2,18,1,44,3,16,11,12,23,33,64,5,3,0,16,1,1,13,11,2,13,8,1,25,26,1,10,19,9,0,0,25,0,0,467
OG0000138,9,0,21,12,19,44,21,0,1,4,16,33,73,2,0,0,0,14,0,1,59,24,0,19,6,1,16,5,8,4,18,8,0,1,13,0,15,467
OG0000139,11,0,0,1,21,0,0,0,64,5,4,2,9,1,0,0,0,13,1,0,65,0,7,0,5,1,117,93,0,8,0,6,0,0,31,0,0,465
OG0000140,45,0,7,0,5,0,0,0,17,29,1,13,104,20,0,0,0,29,0,0,3,16,8,0,11,0,100,17,0,30,1,3,0,0,3,0,1,463
OG0000141,17,25,11,11,9,15,16,9,7,10,12,17,21,43,7,13,5,23,16,16,15,13,11,15,14,7,11,8,12,12,6,7,7,5,9,1,5,461
OG0000142,5,15,3,28,8,22,35,22,15,20,3,16,15,1,21,21,0,8,0,0,7,23,8,9,28,5,24,16,6,22,17,20,2,0,15,0,1,461
OG0000143,9,23,9,9,5,21,16,16,8,5,33,10,11,22,22,52,5,7,12,11,5,13,4,23,7,3,5,12,7,4,8,5,4,18,11,18,7,460
OG0000144,8,10,22,6,16,22,18,3,9,24,2,49,59,0,4,10,0,4,0,0,13,29,9,3,50,5,23,6,8,27,5,4,0,0,11,0,0,459
OG0000145,19,1,4,4,4,6,21,0,57,5,20,1,6,22,9,10,0,5,0,7,22,85,3,0,10,37,3,4,1,6,7,38,0,0,40,0,0,457
OG0000146,25,11,4,14,17,8,20,1,17,15,8,26,33,9,1,8,2,20,5,4,12,22,12,16,27,5,16,19,7,15,12,16,2,8,13,0,5,455
OG0000147,19,7,3,13,8,14,30,4,13,11,12,12,13,43,10,16,3,10,9,26,14,17,11,3,12,8,11,13,17,11,9,21,3,6,13,2,6,453
OG0000148,26,16,44,6,4,4,11,6,27,7,3,4,6,8,3,12,0,22,6,3,22,28,6,8,7,1,7,20,6,6,4,37,0,5,24,0,53,452
OG0000149,11,11,3,9,19,11,20,12,7,25,11,30,37,6,46,18,1,5,1,6,2,27,18,4,25,3,30,2,7,17,5,6,2,4,6,0,2,449
OG0000150,10,12,4,13,2,5,32,20,27,2,4,6,11,21,26,30,1,20,15,8,6,9,19,17,12,2,3,4,11,3,3,27,3,11,44,2,3,448
OG0000151,23,3,31,3,76,2,12,0,2,2,1,33,14,5,0,0,1,30,0,1,1,3,36,12,23,7,87,4,1,6,2,21,3,0,0,0,2,447
OG0000152,22,12,0,7,8,8,35,1,9,20,7,13,16,51,45,8,0,29,4,10,0,21,18,3,16,3,11,11,4,15,9,7,3,4,10,0,6,446
OG0000153,3,18,2,13,13,18,37,9,3,2,12,13,15,56,5,30,2,4,5,14,5,33,9,14,23,3,7,6,4,4,2,5,9,38,5,1,2,444
OG0000154,16,23,16,6,22,11,17,14,8,5,8,29,19,11,6,18,5,16,16,7,7,24,6,23,20,6,8,12,8,9,6,9,4,6,10,10,2,443
OG0000155,7,16,3,18,7,6,9,20,5,7,15,15,28,82,5,31,6,6,17,11,5,9,4,16,15,4,8,10,7,5,5,7,10,12,7,1,4,443
OG0000156,12,14,3,1,9,1,43,17,16,1,1,8,27,34,21,23,22,10,10,15,6,9,16,11,0,0,1,2,7,0,3,28,3,15,50,1,2,442
